"filename", "language", "JSON", "Markdown", "XML", "JavaScript", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\agentLeads\AgentsLeadsStatusPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 139, 0, 0, 32, 40, 211
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\agentLeads\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 17, 19, 120
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\agentLeads\HistoryRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 4, 13, 77
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\agentLeads\LeadModals.jsx", "JavaScript JSX", 0, 0, 0, 0, 524, 0, 0, 59, 126, 709
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\agentLeads\LeadTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 8, 16, 93
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\agentLeads\QR.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 1, 3, 19
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\allLeads\AssignModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 5, 29, 144
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\allLeads\DetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 8, 22, 120
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\allLeads\EditDrawer.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 0, 2, 26, 174
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\allLeads\LeadTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 32, 165
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\allLeads\SearchModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 12, 74
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\auth\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 3, 5, 29
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\auth\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 2, 5, 24
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 1, 13, 51
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\context\DateRangeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 2, 6, 28
